CHG_jobs/astex_1tt1/rmsd191-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1tt1/rmsd192-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1tt1/rmsd193-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1tt1/rmsd245-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1tt1/rmsd247-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1tt1/rmsd52-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1tt1/rmsd6-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1tt1/rmsd74-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1tt1/rmsd97-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1uou/rmsd13-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1uou/rmsd20-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1uou/rmsd31-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1uou/rmsd4-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1uou/rmsd40-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1uou/rmsd46-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1uou/rmsd54-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1uou/rmsd65-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1uou/rmsd66-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1uou/rmsd67-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1vcj/rmsd110-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1vcj/rmsd115-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1vcj/rmsd13-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1vcj/rmsd158-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1vcj/rmsd169-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1vcj/rmsd176-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1vcj/rmsd182-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1vcj/rmsd221-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1vcj/rmsd65-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1vcj/rmsd90-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
